GPSTrack
013950009319543 - 13.575881,100.767338 - time13/09/2015 0:00:07
013950009315384 - 13.575703,100.767556 - time13/09/2015 0:02:17
013950009319972 - 13.575520,100.767373 - time13/09/2015 0:02:17
013950009323768 - 13.575771,100.767033 - time13/09/2015 0:02:18
013950009324832 - 13.575795,100.767201 - time13/09/2015 0:02:18
013950004395373 - 13.575705,100.767273 - time13/09/2015 0:02:20
013950009320509 - 13.575746,100.767306 - time13/09/2015 0:02:25
013950009314809 - 13.575695,100.767298 - time13/09/2015 0:02:28
013950009319790 - 13.575745,100.767235 - time13/09/2015 0:02:29
013777002492740 - 13.575768,100.767145 - time13/09/2015 0:02:28
013950009312506 - 13.575553,100.767395 - time13/09/2015 0:02:32
013950009320004 - 13.575670,100.767265 - time13/09/2015 0:02:33
013950009324535 - 13.575545,100.767365 - time13/09/2015 0:02:34
013950009320152 - 13.575686,100.767035 - time13/09/2015 0:02:36
013950009319543 - 13.575496,100.767330 - time13/09/2015 0:02:37
013777008958603 - 13.575545,100.766998 - time13/09/2015 0:02:39
013950009320426 - 13.575771,100.767333 - time13/09/2015 0:02:42
013950009309742 - 13.575793,100.767071 - time13/09/2015 0:02:45
013950009315384 - 13.575731,100.767506 - time13/09/2015 0:02:47
013950009319972 - 13.575466,100.767376 - time13/09/2015 0:02:47
013950009324832 - 13.575806,100.767215 - time13/09/2015 0:02:48
013950009323768 - 13.575765,100.767023 - time13/09/2015 0:02:48
013950004395373 - 13.575705,100.767273 - time13/09/2015 0:02:50
013950009320509 - 13.575851,100.767283 - time13/09/2015 0:02:55
013950009319790 - 13.575736,100.767235 - time13/09/2015 0:02:59
013950009314809 - 13.575691,100.767306 - time13/09/2015 0:02:58
013777002492740 - 13.575768,100.767145 - time13/09/2015 0:02:58
013950009312506 - 13.575546,100.767385 - time13/09/2015 0:03:02
013950009320004 - 13.575740,100.767260 - time13/09/2015 0:03:03
013950009324535 - 13.575546,100.767433 - time13/09/2015 0:03:04
013950009320152 - 13.575671,100.767025 - time13/09/2015 0:03:06
013950009319543 - 13.575780,100.767413 - time13/09/2015 0:03:07
013777008958603 - 13.575545,100.766998 - time13/09/2015 0:03:09
013950009320426 - 13.575765,100.767323 - time13/09/2015 0:03:12
013950009309742 - 13.575805,100.767083 - time13/09/2015 0:03:15
013950009315384 - 13.575721,100.767508 - time13/09/2015 0:03:17
013950009319972 - 13.575496,100.767353 - time13/09/2015 0:03:17
013950009323768 - 13.575765,100.767010 - time13/09/2015 0:03:18
013950009324832 - 13.575826,100.767255 - time13/09/2015 0:03:18
013950004395373 - 13.575705,100.767273 - time13/09/2015 0:03:21
013950009320509 - 13.575808,100.767265 - time13/09/2015 0:03:25
013950009319790 - 13.575751,100.767230 - time13/09/2015 0:03:28
013950009314809 - 13.575695,100.767320 - time13/09/2015 0:03:28
013777002492740 - 13.575768,100.767145 - time13/09/2015 0:03:29
013950009312506 - 13.575551,100.767363 - time13/09/2015 0:03:32
013950009320004 - 13.575721,100.767221 - time13/09/2015 0:03:33
013950009324535 - 13.575541,100.767441 - time13/09/2015 0:03:34
013950009320152 - 13.575681,100.767030 - time13/09/2015 0:03:36
013950009319543 - 13.575816,100.767406 - time13/09/2015 0:03:37
013777008958603 - 13.575545,100.766998 - time13/09/2015 0:03:40
013950009320426 - 13.575713,100.767325 - time13/09/2015 0:03:42
013950009309742 - 13.575801,100.767078 - time13/09/2015 0:03:45
013950009315384 - 13.575718,100.767495 - time13/09/2015 0:03:47
013950009319972 - 13.575540,100.767331 - time13/09/2015 0:03:47
013950009324832 - 13.575830,100.767233 - time13/09/2015 0:03:48
013950009323768 - 13.575765,100.767008 - time13/09/2015 0:03:48
013950004395373 - 13.575705,100.767273 - time13/09/2015 0:03:51
013950009320509 - 13.575786,100.767223 - time13/09/2015 0:03:55
013950009319790 - 13.575750,100.767238 - time13/09/2015 0:03:58
013950009314809 - 13.575688,100.767316 - time13/09/2015 0:03:58
013777002492740 - 13.575768,100.767145 - time13/09/2015 0:03:59
013950009312506 - 13.575583,100.767338 - time13/09/2015 0:04:02
013950009320004 - 13.575770,100.767208 - time13/09/2015 0:04:03
013950009324535 - 13.575551,100.767386 - time13/09/2015 0:04:04
013950009320152 - 13.575695,100.767040 - time13/09/2015 0:04:06
013950009319543 - 13.575758,100.767375 - time13/09/2015 0:04:07
013777008958603 - 13.575545,100.766998 - time13/09/2015 0:04:10
013950009320426 - 13.575730,100.767323 - time13/09/2015 0:04:12
013950009309742 - 13.575810,100.767085 - time13/09/2015 0:04:15
013950009315384 - 13.575746,100.767478 - time13/09/2015 0:04:17
013950009319972 - 13.575520,100.767363 - time13/09/2015 0:04:17
013950009323768 - 13.575751,100.766990 - time13/09/2015 0:04:18
013950009324832 - 13.575823,100.767218 - time13/09/2015 0:04:18
013950004395373 - 13.575705,100.767273 - time13/09/2015 0:04:21
013950009320509 - 13.575806,100.767206 - time13/09/2015 0:04:25
013950009319790 - 13.575733,100.767248 - time13/09/2015 0:04:28
013950009314809 - 13.575680,100.767303 - time13/09/2015 0:04:28
013777002492740 - 13.575768,100.767145 - time13/09/2015 0:04:29
013950009312506 - 13.575683,100.767386 - time13/09/2015 0:04:31
013950009324535 - 13.575528,100.767348 - time13/09/2015 0:04:34
013950009320004 - 13.575760,100.767203 - time13/09/2015 0:04:33
013950009320152 - 13.575695,100.767038 - time13/09/2015 0:04:36
013950009319543 - 13.575838,100.767388 - time13/09/2015 0:04:37
013777008958603 - 13.575545,100.766998 - time13/09/2015 0:04:40
013950009320426 - 13.575718,100.767310 - time13/09/2015 0:04:42
013950009309742 - 13.575806,100.767080 - time13/09/2015 0:04:45
013950009319972 - 13.575441,100.767363 - time13/09/2015 0:04:47
013950009315384 - 13.575745,100.767480 - time13/09/2015 0:04:47
013950009324832 - 13.575756,100.767238 - time13/09/2015 0:04:48
013950009323768 - 13.575750,100.766981 - time13/09/2015 0:04:48
013950004395373 - 13.575705,100.767273 - time13/09/2015 0:04:52
013950009320509 - 13.575773,100.767245 - time13/09/2015 0:04:55
013950009319790 - 13.575733,100.767246 - time13/09/2015 0:04:58
013950009314809 - 13.575671,100.767305 - time13/09/2015 0:04:58
013777002492740 - 13.575768,100.767145 - time13/09/2015 0:04:59
013950009312506 - 13.575710,100.767430 - time13/09/2015 0:05:01
013950009324535 - 13.575580,100.767333 - time13/09/2015 0:05:04
013950009320004 - 13.575825,100.767166 - time13/09/2015 0:05:03
013950009320152 - 13.575683,100.767036 - time13/09/2015 0:05:06
013950009319543 - 13.575745,100.767425 - time13/09/2015 0:05:07
013777008958603 - 13.575545,100.766998 - time13/09/2015 0:05:10
013950009320426 - 13.575756,100.767316 - time13/09/2015 0:05:12
013950009309742 - 13.575815,100.767073 - time13/09/2015 0:05:15
013950009319972 - 13.575505,100.767373 - time13/09/2015 0:05:17
013950009315384 - 13.575808,100.767490 - time13/09/2015 0:05:17
013950009323768 - 13.575758,100.766986 - time13/09/2015 0:05:18
013950009324832 - 13.575725,100.767246 - time13/09/2015 0:05:18
013950004395373 - 13.575705,100.767273 - time13/09/2015 0:05:22
013950009320509 - 13.575745,100.767255 - time13/09/2015 0:05:25
013950009319790 - 13.575731,100.767246 - time13/09/2015 0:05:28
013950009314809 - 13.575670,100.767300 - time13/09/2015 0:05:28
013777002492740 - 13.575768,100.767145 - time13/09/2015 0:05:30
013950009312506 - 13.575720,100.767448 - time13/09/2015 0:05:31
013950009324535 - 13.575598,100.767355 - time13/09/2015 0:05:33
013950009320004 - 13.575798,100.767148 - time13/09/2015 0:05:33
013950009320152 - 13.575675,100.767025 - time13/09/2015 0:05:36
013950009319543 - 13.575795,100.767470 - time13/09/2015 0:05:37
013777008958603 - 13.575545,100.766998 - time13/09/2015 0:05:40
013950009320426 - 13.575750,100.767328 - time13/09/2015 0:05:41
013950009309742 - 13.575803,100.767080 - time13/09/2015 0:05:45
013950009319972 - 13.575633,100.767386 - time13/09/2015 0:05:47
013950009315384 - 13.575780,100.767505 - time13/09/2015 0:05:47
013950009323768 - 13.575773,100.767005 - time13/09/2015 0:05:48
013950009324832 - 13.575743,100.767240 - time13/09/2015 0:05:48
013950004395373 - 13.575705,100.767273 - time13/09/2015 0:05:52
013950009320509 - 13.575773,100.767335 - time13/09/2015 0:05:55
013950009319790 - 13.575725,100.767243 - time13/09/2015 0:05:58
013950009314809 - 13.575666,100.767288 - time13/09/2015 0:05:58
013777002492740 - 13.575768,100.767145 - time13/09/2015 0:06:00
013950009312506 - 13.575855,100.767510 - time13/09/2015 0:06:01
013950009320004 - 13.575746,100.767188 - time13/09/2015 0:06:03
013950009324535 - 13.575580,100.767361 - time13/09/2015 0:06:03
013950009320152 - 13.575678,100.767033 - time13/09/2015 0:06:06
013950009319543 - 13.575876,100.767531 - time13/09/2015 0:06:07
013777008958603 - 13.575545,100.766998 - time13/09/2015 0:06:10
013950009320426 - 13.575726,100.767330 - time13/09/2015 0:06:11
013950009309742 - 13.575798,100.767080 - time13/09/2015 0:06:15
013950009319972 - 13.575695,100.767400 - time13/09/2015 0:06:17
013950009315384 - 13.575721,100.767500 - time13/09/2015 0:06:17
013950009324832 - 13.575743,100.767253 - time13/09/2015 0:06:18
013950009323768 - 13.575776,100.767023 - time13/09/2015 0:06:18
013950004395373 - 13.575705,100.767273 - time13/09/2015 0:06:22
013950009320509 - 13.575723,100.767358 - time13/09/2015 0:06:25
013950009319790 - 13.575733,100.767233 - time13/09/2015 0:06:28
013950009314809 - 13.575676,100.767286 - time13/09/2015 0:06:28
013777002492740 - 13.575768,100.767145 - time13/09/2015 0:06:30
013950009312506 - 13.575813,100.767543 - time13/09/2015 0:06:31
013950009324535 - 13.575706,100.767355 - time13/09/2015 0:06:33
013950009320004 - 13.575703,100.767213 - time13/09/2015 0:06:33
013950009320152 - 13.575683,100.767030 - time13/09/2015 0:06:36
013950009319543 - 13.575813,100.767505 - time13/09/2015 0:06:37
013777008958603 - 13.575545,100.766998 - time13/09/2015 0:06:40
013950009320426 - 13.575728,100.767331 - time13/09/2015 0:06:41
013950009309742 - 13.575810,100.767083 - time13/09/2015 0:06:45
013950009319972 - 13.575715,100.767441 - time13/09/2015 0:06:47
013950009315384 - 13.575795,100.767501 - time13/09/2015 0:06:47
013950009323768 - 13.575780,100.767021 - time13/09/2015 0:06:48
013950009324832 - 13.575750,100.767240 - time13/09/2015 0:06:48
013950004395373 - 13.575705,100.767273 - time13/09/2015 0:06:53
013950009320509 - 13.575698,100.767381 - time13/09/2015 0:06:55
013950009319790 - 13.575721,100.767231 - time13/09/2015 0:06:57
013950009314809 - 13.575683,100.767288 - time13/09/2015 0:06:58
013950009312506 - 13.575671,100.767521 - time13/09/2015 0:07:01
013777002492740 - 13.575768,100.767145 - time13/09/2015 0:07:01
013950009324535 - 13.575730,100.767370 - time13/09/2015 0:07:03
013950009320004 - 13.575733,100.767236 - time13/09/2015 0:07:03
013950009320152 - 13.575693,100.767035 - time13/09/2015 0:07:06
013950009319543 - 13.575735,100.767443 - time13/09/2015 0:07:07
013777008958603 - 13.575545,100.766998 - time13/09/2015 0:07:11
013950009320426 - 13.575738,100.767343 - time13/09/2015 0:07:11
013950009309742 - 13.575793,100.767071 - time13/09/2015 0:07:15
013950009319972 - 13.575746,100.767458 - time13/09/2015 0:07:17
013950009315384 - 13.575826,100.767518 - time13/09/2015 0:07:17
013950009323768 - 13.575758,100.766993 - time13/09/2015 0:07:18
013950009324832 - 13.575835,100.767181 - time13/09/2015 0:07:18
013950004395373 - 13.575705,100.767273 - time13/09/2015 0:07:23
013950009320509 - 13.575735,100.767301 - time13/09/2015 0:07:25
013950009319790 - 13.575723,100.767225 - time13/09/2015 0:07:27
013950009314809 - 13.575686,100.767308 - time13/09/2015 0:07:28
013950009312506 - 13.575595,100.767566 - time13/09/2015 0:07:31
013777002492740 - 13.575768,100.767145 - time13/09/2015 0:07:31
013950009324535 - 13.575683,100.767358 - time13/09/2015 0:07:33
013950009320004 - 13.575666,100.767243 - time13/09/2015 0:07:33
013950009320152 - 13.575695,100.767038 - time13/09/2015 0:07:35
013950009319543 - 13.575613,100.767361 - time13/09/2015 0:07:37
013777008958603 - 13.575545,100.766998 - time13/09/2015 0:07:41
013950009320426 - 13.575756,100.767375 - time13/09/2015 0:07:41
013950009309742 - 13.575805,100.767071 - time13/09/2015 0:07:45
013950009319972 - 13.575746,100.767465 - time13/09/2015 0:07:47
013950009315384 - 13.575895,100.767531 - time13/09/2015 0:07:47
013950009323768 - 13.575755,100.766995 - time13/09/2015 0:07:48
013950009324832 - 13.575826,100.767223 - time13/09/2015 0:07:48
013950004395373 - 13.575705,100.767273 - time13/09/2015 0:07:53
013950009320509 - 13.575668,100.767325 - time13/09/2015 0:07:55
013950009319790 - 13.575723,100.767236 - time13/09/2015 0:07:57
013950009314809 - 13.575663,100.767298 - time13/09/2015 0:07:58
013950009312506 - 13.575463,100.767581 - time13/09/2015 0:08:01
013777002492740 - 13.575768,100.767145 - time13/09/2015 0:08:01
013950009324535 - 13.575735,100.767435 - time13/09/2015 0:08:03
013950009320004 - 13.575556,100.767278 - time13/09/2015 0:08:03
013950009320152 - 13.575695,100.767036 - time13/09/2015 0:08:05
013950009319543 - 13.575645,100.767465 - time13/09/2015 0:08:07
013950009320426 - 13.575758,100.767376 - time13/09/2015 0:08:11
013777008958603 - 13.575545,100.766998 - time13/09/2015 0:08:11
013950009309742 - 13.575801,100.767058 - time13/09/2015 0:08:15
013950009319972 - 13.575740,100.767456 - time13/09/2015 0:08:16
013950009315384 - 13.575873,100.767533 - time13/09/2015 0:08:17
013950009323768 - 13.575760,100.766995 - time13/09/2015 0:08:18
013950009324832 - 13.575826,100.767246 - time13/09/2015 0:08:18
013950004395373 - 13.575705,100.767273 - time13/09/2015 0:08:23
013950009320509 - 13.575581,100.767340 - time13/09/2015 0:08:24
013950009319790 - 13.575718,100.767238 - time13/09/2015 0:08:27
013950009314809 - 13.575681,100.767300 - time13/09/2015 0:08:28
013950009312506 - 13.575473,100.767525 - time13/09/2015 0:08:31
013777002492740 - 13.575768,100.767145 - time13/09/2015 0:08:31
013950009324535 - 13.575763,100.767401 - time13/09/2015 0:08:33
013950009320004 - 13.575555,100.767300 - time13/09/2015 0:08:34
013950009320152 - 13.575688,100.767043 - time13/09/2015 0:08:35
013950009319543 - 13.575690,100.767550 - time13/09/2015 0:08:37
013950009320426 - 13.575758,100.767391 - time13/09/2015 0:08:41
013777008958603 - 13.575545,100.766998 - time13/09/2015 0:08:41
013950009309742 - 13.575801,100.767058 - time13/09/2015 0:08:45
013950009319972 - 13.575790,100.767455 - time13/09/2015 0:08:46
013950009315384 - 13.575886,100.767553 - time13/09/2015 0:08:47
013950009323768 - 13.575756,100.767000 - time13/09/2015 0:08:48
013950009324832 - 13.575790,100.767323 - time13/09/2015 0:08:48
013950004395373 - 13.575705,100.767273 - time13/09/2015 0:08:54
013950009320509 - 13.575563,100.767338 - time13/09/2015 0:08:54
013950009319790 - 13.575725,100.767241 - time13/09/2015 0:08:57
013950009314809 - 13.575680,100.767296 - time13/09/2015 0:08:58
013950009312506 - 13.575611,100.767431 - time13/09/2015 0:09:00
013777002492740 - 13.575768,100.767145 - time13/09/2015 0:09:02
013950009324535 - 13.575645,100.767405 - time13/09/2015 0:09:03
013950009320004 - 13.575580,100.767273 - time13/09/2015 0:09:04
013950009320152 - 13.575671,100.767015 - time13/09/2015 0:09:05
013950009319543 - 13.575781,100.767541 - time13/09/2015 0:09:07
013950009320426 - 13.575766,100.767381 - time13/09/2015 0:09:11
013777008958603 - 13.575545,100.766998 - time13/09/2015 0:09:11
013950009309742 - 13.575786,100.767053 - time13/09/2015 0:09:15
013950009319972 - 13.575796,100.767440 - time13/09/2015 0:09:16
013950009315384 - 13.575963,100.767561 - time13/09/2015 0:09:17
013950009323768 - 13.575758,100.766993 - time13/09/2015 0:09:18
013950009324832 - 13.575558,100.767340 - time13/09/2015 0:09:18
013950009320509 - 13.575551,100.767375 - time13/09/2015 0:09:24
013950004395373 - 13.575705,100.767273 - time13/09/2015 0:09:24
013950009319790 - 13.575721,100.767246 - time13/09/2015 0:09:27
013950009314809 - 13.575671,100.767285 - time13/09/2015 0:09:28
013950009312506 - 13.575708,100.767421 - time13/09/2015 0:09:30
013777002492740 - 13.575768,100.767145 - time13/09/2015 0:09:32
013950009324535 - 13.575555,100.767356 - time13/09/2015 0:09:33
013950009320004 - 13.575585,100.767260 - time13/09/2015 0:09:34
013950009320152 - 13.575686,100.767016 - time13/09/2015 0:09:35
013950009319543 - 13.575741,100.767538 - time13/09/2015 0:09:36
013950009320426 - 13.575728,100.767341 - time13/09/2015 0:09:41
013777008958603 - 13.575545,100.766998 - time13/09/2015 0:09:41
013950009309742 - 13.575781,100.767051 - time13/09/2015 0:09:45
013950009319972 - 13.575823,100.767416 - time13/09/2015 0:09:46
013950009315384 - 13.575895,100.767545 - time13/09/2015 0:09:47
013950009323768 - 13.575748,100.767000 - time13/09/2015 0:09:48
013950009324832 - 13.575600,100.767330 - time13/09/2015 0:09:48
013950009320509 - 13.575548,100.767396 - time13/09/2015 0:09:54
013950004395373 - 13.575705,100.767273 - time13/09/2015 0:09:54
013950009319790 - 13.575735,100.767240 - time13/09/2015 0:09:57
013950009314809 - 13.575673,100.767275 - time13/09/2015 0:09:58
013950009312506 - 13.575773,100.767523 - time13/09/2015 0:10:00
013950009324535 - 13.575331,100.767441 - time13/09/2015 0:10:03
013777002492740 - 13.575768,100.767145 - time13/09/2015 0:10:02
013950009320004 - 13.575608,100.767213 - time13/09/2015 0:10:04
013950009320152 - 13.575683,100.767018 - time13/09/2015 0:10:05
013950009319543 - 13.575696,100.767415 - time13/09/2015 0:10:06
013950009320426 - 13.575738,100.767343 - time13/09/2015 0:10:11
013777008958603 - 13.575545,100.766998 - time13/09/2015 0:10:12
013950009309742 - 13.575796,100.767056 - time13/09/2015 0:10:15
013950009319972 - 13.575841,100.767415 - time13/09/2015 0:10:16
013950009315384 - 13.575888,100.767546 - time13/09/2015 0:10:17
013950009323768 - 13.575725,100.766983 - time13/09/2015 0:10:18
013950009324832 - 13.575608,100.767305 - time13/09/2015 0:10:18
013950009320509 - 13.575595,100.767336 - time13/09/2015 0:10:24
013950004395373 - 13.575705,100.767273 - time13/09/2015 0:10:25
013950009319790 - 13.575730,100.767248 - time13/09/2015 0:10:26
013950009314809 - 13.575676,100.767283 - time13/09/2015 0:10:28
013950009312506 - 13.575665,100.767585 - time13/09/2015 0:10:30
013950009324535 - 13.575358,100.767416 - time13/09/2015 0:10:33
013777002492740 - 13.575768,100.767145 - time13/09/2015 0:10:32
013950009320004 - 13.575683,100.767311 - time13/09/2015 0:10:34
013950009320152 - 13.575666,100.767020 - time13/09/2015 0:10:35
013950009319543 - 13.575698,100.767401 - time13/09/2015 0:10:36
013950009320426 - 13.575756,100.767368 - time13/09/2015 0:10:41
013777008958603 - 13.575545,100.766998 - time13/09/2015 0:10:42
013950009309742 - 13.575796,100.767061 - time13/09/2015 0:10:45
013950009319972 - 13.575850,100.767418 - time13/09/2015 0:10:46
013950009315384 - 13.575871,100.767558 - time13/09/2015 0:10:47
013950009323768 - 13.575721,100.766973 - time13/09/2015 0:10:48
013950009324832 - 13.575643,100.767266 - time13/09/2015 0:10:48
013950009320509 - 13.575720,100.767226 - time13/09/2015 0:10:54
013950004395373 - 13.575705,100.767273 - time13/09/2015 0:10:55
013950009319790 - 13.575728,100.767235 - time13/09/2015 0:10:56
013950009314809 - 13.575685,100.767301 - time13/09/2015 0:10:58
013950009312506 - 13.575508,100.767536 - time13/09/2015 0:11:00
013950009324535 - 13.575495,100.767380 - time13/09/2015 0:11:03
013777002492740 - 13.575768,100.767145 - time13/09/2015 0:11:03
013950009320004 - 13.575766,100.767280 - time13/09/2015 0:11:04
013950009320152 - 13.575658,100.767023 - time13/09/2015 0:11:05
013950009319543 - 13.575638,100.767420 - time13/09/2015 0:11:06
013950009320426 - 13.575743,100.767345 - time13/09/2015 0:11:11
013777008958603 - 13.575545,100.766998 - time13/09/2015 0:11:12
013950009309742 - 13.575791,100.767071 - time13/09/2015 0:11:14
013950009319972 - 13.575855,100.767448 - time13/09/2015 0:11:16
013950009315384 - 13.575866,100.767556 - time13/09/2015 0:11:17
013950009323768 - 13.575730,100.766970 - time13/09/2015 0:11:18
013950009324832 - 13.575775,100.767248 - time13/09/2015 0:11:18
013950009320509 - 13.575703,100.767336 - time13/09/2015 0:11:24
013950004395373 - 13.575705,100.767273 - time13/09/2015 0:11:25
013950009319790 - 13.575731,100.767221 - time13/09/2015 0:11:26
013950009314809 - 13.575698,100.767303 - time13/09/2015 0:11:28
013950009312506 - 13.575630,100.767540 - time13/09/2015 0:11:30
013950009324535 - 13.575680,100.767500 - time13/09/2015 0:11:33
013777002492740 - 13.575768,100.767145 - time13/09/2015 0:11:33
013950009320004 - 13.575750,100.767270 - time13/09/2015 0:11:34
013950009320152 - 13.575661,100.767026 - time13/09/2015 0:11:35
013950009319543 - 13.575615,100.767400 - time13/09/2015 0:11:36
013950009320426 - 13.575731,100.767351 - time13/09/2015 0:11:41
013777008958603 - 13.575545,100.766998 - time13/09/2015 0:11:42
013950009309742 - 13.575783,100.767073 - time13/09/2015 0:11:44
013950009319972 - 13.575933,100.767410 - time13/09/2015 0:11:46
013950009315384 - 13.575853,100.767555 - time13/09/2015 0:11:47
013950009323768 - 13.575721,100.766968 - time13/09/2015 0:11:48
013950009324832 - 13.575808,100.767221 - time13/09/2015 0:11:48
013950009320509 - 13.575690,100.767401 - time13/09/2015 0:11:54
013950004395373 - 13.575705,100.767273 - time13/09/2015 0:11:55
013950009319790 - 13.575723,100.767231 - time13/09/2015 0:11:56
013950009314809 - 13.575705,100.767310 - time13/09/2015 0:11:58
013950009312506 - 13.575611,100.767541 - time13/09/2015 0:12:00
013950009324535 - 13.575616,100.767566 - time13/09/2015 0:12:03
013777002492740 - 13.575768,100.767145 - time13/09/2015 0:12:03
013950009320004 - 13.575713,100.767268 - time13/09/2015 0:12:04
013950009320152 - 13.575686,100.767035 - time13/09/2015 0:12:05
013950009319543 - 13.575633,100.767415 - time13/09/2015 0:12:06
013950009320426 - 13.575748,100.767370 - time13/09/2015 0:12:11
013777008958603 - 13.575545,100.766998 - time13/09/2015 0:12:12
013950009309742 - 13.575775,100.767068 - time13/09/2015 0:12:14
013950009319972 - 13.575921,100.767348 - time13/09/2015 0:12:16
013950009323768 - 13.575730,100.766970 - time13/09/2015 0:12:18
013950009315384 - 13.575723,100.767543 - time13/09/2015 0:12:17
013950009324832 - 13.575815,100.767213 - time13/09/2015 0:12:19
013950009320509 - 13.575700,100.767440 - time13/09/2015 0:12:24
013950009319790 - 13.575726,100.767226 - time13/09/2015 0:12:26
