GPSTrack
013950009309742 - 0.000000,0.000000 - time01/01/2000 7:03:39
013950009320426 - 0.000000,0.000000 - time01/01/2000 7:08:28
013950009309213 - 0.000000,0.000000 - time01/01/2000 13:01:52
013950009329336 - 13.834963,100.514225 - time11/09/2015 10:22:40
013950009319451 - 0.000000,0.000000 - time01/01/2000 7:25:13
013950009319147 - 0.000000,0.000000 - time01/01/2000 7:24:11
013950009320426 - 0.000000,0.000000 - time01/01/2000 7:09:28
013950009309213 - 13.834993,100.514275 - time11/09/2015 10:22:34
013950009329336 - 0.000000,0.000000 - time01/01/2000 7:18:37
013950009319451 - 0.000000,0.000000 - time01/01/2000 7:25:52
013950009319147 - 0.000000,0.000000 - time01/01/2000 7:25:11
013950009320426 - 0.000000,0.000000 - time01/01/2000 7:10:28
013950009309213 - 0.000000,0.000000 - time01/01/2000 7:04:45
013950009329336 - 0.000000,0.000000 - time01/01/2000 7:19:38
013950009319451 - 0.000000,0.000000 - time01/01/2000 7:26:13
013950009319147 - 0.000000,0.000000 - time01/01/2000 7:26:10
013950009320426 - 0.000000,0.000000 - time01/01/2000 7:11:28
013950009309213 - 0.000000,0.000000 - time01/01/2000 7:05:45
013950009329336 - 0.000000,0.000000 - time01/01/2000 7:20:38
013950009319451 - 0.000000,0.000000 - time01/01/2000 7:27:13
013950009319147 - 0.000000,0.000000 - time01/01/2000 7:27:10
013950009320426 - 0.000000,0.000000 - time01/01/2000 7:12:28
013950009309213 - 0.000000,0.000000 - time01/01/2000 7:06:44
013950009319451 - 0.000000,0.000000 - time01/01/2000 7:28:13
013950009329336 - 0.000000,0.000000 - time01/01/2000 7:21:38
013950009319147 - 13.834951,100.514246 - time11/09/2015 10:22:45
013950009320426 - 13.834941,100.514250 - time11/09/2015 10:22:46
013950009309213 - 0.000000,0.000000 - time01/01/2000 7:07:44
013950009319451 - 0.000000,0.000000 - time01/01/2000 7:29:12
013950009329336 - 0.000000,0.000000 - time01/01/2000 7:22:38
013950009319147 - 0.000000,0.000000 - time01/01/2000 7:28:10
013950009320426 - 0.000000,0.000000 - time01/01/2000 7:13:01
013950009309213 - 0.000000,0.000000 - time01/01/2000 7:08:44
013950009329336 - 0.000000,0.000000 - time01/01/2000 7:23:38
013950009319147 - 0.000000,0.000000 - time01/01/2000 7:29:10
013950009314809 - 0.000000,0.000000 - time01/01/2000 7:06:16
013950009320426 - 0.000000,0.000000 - time01/01/2000 7:13:28
013950009319451 - 0.000000,0.000000 - time01/01/2000 7:30:12
013950009309213 - 0.000000,0.000000 - time01/01/2000 7:09:43
013950009329336 - 0.000000,0.000000 - time01/01/2000 7:24:38
013950009314809 - 0.000000,0.000000 - time01/01/2000 7:06:30
013950009319451 - 0.000000,0.000000 - time01/01/2000 7:31:12
013950009319147 - 0.000000,0.000000 - time01/01/2000 7:30:10
013950009320285 - 13.834933,100.514185 - time11/09/2015 10:22:49
013950009320426 - 0.000000,0.000000 - time01/01/2000 7:14:28
013950009309213 - 0.000000,0.000000 - time01/01/2000 7:10:43
013950009329336 - 0.000000,0.000000 - time01/01/2000 7:25:38
013950009314809 - 0.000000,0.000000 - time01/01/2000 7:07:00
013950009319451 - 0.000000,0.000000 - time01/01/2000 7:32:12
013950009319147 - 0.000000,0.000000 - time01/01/2000 7:30:49
013950009320426 - 0.000000,0.000000 - time01/01/2000 7:15:27
013950009309213 - 0.000000,0.000000 - time01/01/2000 7:11:43
013950009329336 - 0.000000,0.000000 - time01/01/2000 7:26:38
013950009319451 - 0.000000,0.000000 - time01/01/2000 7:33:12
013950009319147 - 0.000000,0.000000 - time01/01/2000 7:31:10
013950009314809 - 0.000000,0.000000 - time01/01/2000 7:05:35
013950009320426 - 0.000000,0.000000 - time01/01/2000 7:16:27
013950009309213 - 0.000000,0.000000 - time01/01/2000 7:12:43
013950009329336 - 0.000000,0.000000 - time01/01/2000 7:27:38
013950009319147 - 0.000000,0.000000 - time01/01/2000 7:32:10
013950009319451 - 0.000000,0.000000 - time01/01/2000 7:34:12
013950009314809 - 0.000000,0.000000 - time01/01/2000 7:05:46
013950009320426 - 0.000000,0.000000 - time01/01/2000 7:17:27
013950009309213 - 0.000000,0.000000 - time01/01/2000 7:13:16
013950009329336 - 0.000000,0.000000 - time01/01/2000 7:28:17
013950009319451 - 0.000000,0.000000 - time01/01/2000 7:35:12
013950009319147 - 0.000000,0.000000 - time01/01/2000 7:33:10
013950009320426 - 0.000000,0.000000 - time01/01/2000 7:18:27
013950009309213 - 0.000000,0.000000 - time01/01/2000 7:13:42
013950009314809 - 0.000000,0.000000 - time01/01/2000 7:04:06
013950009319147 - 0.000000,0.000000 - time01/01/2000 7:34:10
013950009319451 - 0.000000,0.000000 - time01/01/2000 7:35:57
013950009329336 - 0.000000,0.000000 - time01/01/2000 7:28:38
013950009320426 - 0.000000,0.000000 - time01/01/2000 7:19:27
013950009309213 - 0.000000,0.000000 - time01/01/2000 7:14:42
013950009314809 - 0.000000,0.000000 - time01/01/2000 7:04:35
013950009319147 - 0.000000,0.000000 - time01/01/2000 7:35:09
013950009319451 - 0.000000,0.000000 - time01/01/2000 7:36:12
013777008958603 - 0.000000,0.000000 - time01/01/2000 7:00:05
013950009320426 - 0.000000,0.000000 - time01/01/2000 7:20:27
013950009329336 - 0.000000,0.000000 - time01/01/2000 7:29:38
013950009309213 - 0.000000,0.000000 - time01/01/2000 7:15:42
013950009319147 - 0.000000,0.000000 - time01/01/2000 7:36:09
013950009320426 - 0.000000,0.000000 - time01/01/2000 7:21:27
013950009314809 - 0.000000,0.000000 - time01/01/2000 7:04:46
013950009329336 - 0.000000,0.000000 - time01/01/2000 7:30:38
013950009319451 - 0.000000,0.000000 - time01/01/2000 7:37:12
013777008958603 - 9.762193,99.082160 - time07/08/2015 4:58:58
013950009309213 - 0.000000,0.000000 - time01/01/2000 7:16:42
013950009319147 - 0.000000,0.000000 - time01/01/2000 7:37:09
013950009329336 - 0.000000,0.000000 - time01/01/2000 7:31:38
013950009319451 - 0.000000,0.000000 - time01/01/2000 7:38:11
013950009320426 - 0.000000,0.000000 - time01/01/2000 7:22:27
013950009309213 - 0.000000,0.000000 - time01/01/2000 7:17:41
013777008958603 - 9.762193,99.082160 - time07/08/2015 4:59:17
013950009319147 - 0.000000,0.000000 - time01/01/2000 7:38:09
013950009319451 - 0.000000,0.000000 - time01/01/2000 7:39:11
013950009320426 - 0.000000,0.000000 - time01/01/2000 7:23:06
013950009328270 - 13.834995,100.514221 - time11/09/2015 7:08:08
013950009329336 - 0.000000,0.000000 - time01/01/2000 7:32:38
013950009309213 - 0.000000,0.000000 - time01/01/2000 7:18:41
013777008958603 - 9.762193,99.082160 - time07/08/2015 4:07:32
013950009319147 - 0.000000,0.000000 - time01/01/2000 7:39:09
013950009319451 - 0.000000,0.000000 - time01/01/2000 7:40:11
013950009320426 - 0.000000,0.000000 - time01/01/2000 7:23:27
013950009328270 - 13.834995,100.514221 - time11/09/2015 7:08:22
013950009309213 - 0.000000,0.000000 - time01/01/2000 7:19:41
013950009329336 - 0.000000,0.000000 - time01/01/2000 7:33:38
013777008958603 - 9.762193,99.082160 - time07/08/2015 4:10:41
013950009319147 - 0.000000,0.000000 - time01/01/2000 7:40:09
013950009320426 - 0.000000,0.000000 - time01/01/2000 7:24:27
013950009328270 - 13.834995,100.514221 - time11/09/2015 7:08:52
013950009319451 - 0.000000,0.000000 - time01/01/2000 7:41:11
013950009309213 - 0.000000,0.000000 - time01/01/2000 7:20:41
013950009329336 - 0.000000,0.000000 - time01/01/2000 7:34:38
013777008958603 - 9.762193,99.082160 - time07/08/2015 4:11:11
013950009319147 - 0.000000,0.000000 - time01/01/2000 7:40:54
013950009320426 - 0.000000,0.000000 - time01/01/2000 7:25:27
013950009328270 - 0.000000,0.000000 - time01/01/2000 7:03:11
013950009309213 - 13.834993,100.514270 - time11/09/2015 10:23:04
013950009319451 - 13.834935,100.514236 - time11/09/2015 10:23:05
013950009329336 - 0.000000,0.000000 - time01/01/2000 7:35:38
013950009319147 - 0.000000,0.000000 - time01/01/2000 7:41:09
013950009320426 - 0.000000,0.000000 - time01/01/2000 7:26:27
013777008958603 - 9.762193,99.082160 - time07/08/2015 4:11:40
013950009328270 - 0.000000,0.000000 - time01/01/2000 7:03:43
013950009309213 - 0.000000,0.000000 - time01/01/2000 7:21:40
013950009319451 - 0.000000,0.000000 - time01/01/2000 7:42:11
013950009329336 - 0.000000,0.000000 - time01/01/2000 7:36:38
013950009319147 - 0.000000,0.000000 - time01/01/2000 7:42:09
013950009320426 - 0.000000,0.000000 - time01/01/2000 7:27:27
013950009309213 - 0.000000,0.000000 - time01/01/2000 7:22:40
013950009328270 - 0.000000,0.000000 - time01/01/2000 7:04:43
013777008958603 - 9.762193,99.082160 - time07/08/2015 4:12:10
013950009319451 - 0.000000,0.000000 - time01/01/2000 7:43:11
013950009324477 - 13.834975,100.514205 - time11/09/2015 7:09:50
013950009329336 - 0.000000,0.000000 - time01/01/2000 7:37:38
013950009319147 - 0.000000,0.000000 - time01/01/2000 7:43:09
013950009320426 - 0.000000,0.000000 - time01/01/2000 7:28:27
013950009328270 - 0.000000,0.000000 - time01/01/2000 7:06:49
013950009309213 - 0.000000,0.000000 - time01/01/2000 7:23:19
013950009324477 - 13.834975,100.514205 - time11/09/2015 7:10:05
013950009329336 - 0.000000,0.000000 - time01/01/2000 7:38:23
013950009319147 - 0.000000,0.000000 - time01/01/2000 7:44:08
013777008958603 - 9.762193,99.082160 - time07/08/2015 4:12:40
013950009319451 - 0.000000,0.000000 - time01/01/2000 7:44:11
013950009328270 - 0.000000,0.000000 - time01/01/2000 7:07:49
013950009320426 - 0.000000,0.000000 - time01/01/2000 7:29:27
013950009309213 - 0.000000,0.000000 - time01/01/2000 7:23:40
013950009324477 - 13.834843,100.514418 - time11/09/2015 10:23:02
013950009329336 - 0.000000,0.000000 - time01/01/2000 7:38:38
013950009319451 - 0.000000,0.000000 - time01/01/2000 7:45:11
013777008958603 - 9.762193,99.082160 - time07/08/2015 4:13:09
013950009319147 - 0.000000,0.000000 - time01/01/2000 7:45:08
013950009320426 - 0.000000,0.000000 - time01/01/2000 7:30:27
013950009309213 - 0.000000,0.000000 - time01/01/2000 7:24:40
013950009324477 - 0.000000,0.000000 - time01/01/2000 7:04:03
013950009328270 - 0.000000,0.000000 - time01/01/2000 7:08:49
013950009329336 - 13.834951,100.514235 - time11/09/2015 10:23:10
013950009319451 - 0.000000,0.000000 - time01/01/2000 7:46:01
013950009319147 - 0.000000,0.000000 - time01/01/2000 7:46:08
013950009320426 - 0.000000,0.000000 - time01/01/2000 7:31:27
013777008958603 - 9.762193,99.082160 - time07/08/2015 4:13:39
013950009309213 - 0.000000,0.000000 - time01/01/2000 7:25:39
013950009314809 - 13.834980,100.514231 - time11/09/2015 10:23:12
013950009328270 - 0.000000,0.000000 - time01/01/2000 7:09:48
013950009324477 - 0.000000,0.000000 - time01/01/2000 7:05:52
013950009329336 - 0.000000,0.000000 - time01/01/2000 7:39:38
013950009319147 - 0.000000,0.000000 - time01/01/2000 7:47:08
013950009319451 - 0.000000,0.000000 - time01/01/2000 7:46:10
013950009320426 - 0.000000,0.000000 - time01/01/2000 7:32:27
013950009309213 - 0.000000,0.000000 - time01/01/2000 7:26:39
013777008958603 - 9.762193,99.082160 - time07/08/2015 4:14:02
013950009328270 - 0.000000,0.000000 - time01/01/2000 7:10:48
013950009329336 - 0.000000,0.000000 - time01/01/2000 7:40:38
013950009324477 - 0.000000,0.000000 - time01/01/2000 7:06:52
013950009319147 - 0.000000,0.000000 - time01/01/2000 7:48:08
013950009320426 - 0.000000,0.000000 - time01/01/2000 7:33:11
013950009309213 - 0.000000,0.000000 - time01/01/2000 7:27:39
013950009319451 - 0.000000,0.000000 - time01/01/2000 7:47:10
013950009328270 - 0.000000,0.000000 - time01/01/2000 7:11:48
013950009329336 - 0.000000,0.000000 - time01/01/2000 7:41:38
013950009324477 - 0.000000,0.000000 - time01/01/2000 7:07:52
013777008958603 - 9.762193,99.082160 - time07/08/2015 4:14:09
013950009319147 - 13.834943,100.514276 - time11/09/2015 10:23:15
013950009320426 - 0.000000,0.000000 - time01/01/2000 7:33:26
013950009309213 - 0.000000,0.000000 - time01/01/2000 7:28:39
013950009319451 - 0.000000,0.000000 - time01/01/2000 7:48:10
013950009328270 - 0.000000,0.000000 - time01/01/2000 7:12:48
013950009324477 - 0.000000,0.000000 - time01/01/2000 7:08:52
013777008958603 - 9.762193,99.082160 - time07/08/2015 4:14:39
013950009319147 - 0.000000,0.000000 - time01/01/2000 7:49:08
013950009329336 - 0.000000,0.000000 - time01/01/2000 7:42:38
013950009320426 - 13.834988,100.514243 - time11/09/2015 10:23:16
013950009309213 - 0.000000,0.000000 - time01/01/2000 7:29:38
013950009319451 - 0.000000,0.000000 - time01/01/2000 7:49:10
013950009328270 - 0.000000,0.000000 - time01/01/2000 7:13:48
013777008958603 - 13.834958,100.514248 - time11/09/2015 10:23:18
013950009319147 - 0.000000,0.000000 - time01/01/2000 7:50:08
013950009324477 - 0.000000,0.000000 - time01/01/2000 7:09:51
013950009329336 - 0.000000,0.000000 - time01/01/2000 7:43:38
013950009320426 - 0.000000,0.000000 - time01/01/2000 7:34:26
013950009319451 - 0.000000,0.000000 - time01/01/2000 7:50:10
013950009328270 - 0.000000,0.000000 - time01/01/2000 7:14:48
013950009309213 - 0.000000,0.000000 - time01/01/2000 7:30:38
013950009319147 - 0.000000,0.000000 - time01/01/2000 7:50:59
013950009329336 - 0.000000,0.000000 - time01/01/2000 7:44:38
013950009324477 - 0.000000,0.000000 - time01/01/2000 7:10:51
013777008958603 - 9.762193,99.082160 - time07/08/2015 4:15:08
013950009328270 - 0.000000,0.000000 - time01/01/2000 7:15:21
013950009320426 - 0.000000,0.000000 - time01/01/2000 7:35:26
013950009309213 - 0.000000,0.000000 - time01/01/2000 7:31:38
013950009319451 - 0.000000,0.000000 - time01/01/2000 7:51:10
013950009320285 - 13.834935,100.514193 - time11/09/2015 10:23:19
013950009329336 - 0.000000,0.000000 - time01/01/2000 7:45:38
013950009324477 - 0.000000,0.000000 - time01/01/2000 7:11:51
013777008958603 - 9.762193,99.082160 - time07/08/2015 4:08:42
013950009319147 - 0.000000,0.000000 - time01/01/2000 7:51:08
013950009320426 - 0.000000,0.000000 - time01/01/2000 7:36:26
013950009309213 - 0.000000,0.000000 - time01/01/2000 7:32:38
013950009319451 - 0.000000,0.000000 - time01/01/2000 7:52:10
013950009328270 - 0.000000,0.000000 - time01/01/2000 7:15:47
013950009329336 - 0.000000,0.000000 - time01/01/2000 7:46:38
013950009324477 - 0.000000,0.000000 - time01/01/2000 7:12:51
013777008958603 - 9.762193,99.082160 - time07/08/2015 4:09:42
013950009319147 - 0.000000,0.000000 - time01/01/2000 7:52:08
013950009320426 - 0.000000,0.000000 - time01/01/2000 7:37:26
013950009328270 - 0.000000,0.000000 - time01/01/2000 7:16:47
013950009309213 - 0.000000,0.000000 - time01/01/2000 7:33:22
013950009319451 - 0.000000,0.000000 - time01/01/2000 7:53:10
013950009324477 - 0.000000,0.000000 - time01/01/2000 7:13:51
013950009329336 - 0.000000,0.000000 - time01/01/2000 7:47:38
013950009319147 - 0.000000,0.000000 - time01/01/2000 7:53:08
013777008958603 - 9.762193,99.082160 - time07/08/2015 4:10:11
013950009320426 - 0.000000,0.000000 - time01/01/2000 7:38:26
013950009328270 - 0.000000,0.000000 - time01/01/2000 7:17:47
013950009319451 - 0.000000,0.000000 - time01/01/2000 7:54:10
013950009309213 - 0.000000,0.000000 - time01/01/2000 7:33:37
