"ADMITYEAR";"STUDENTID";"STUDENTSTATUS";"STUDENTSTATUSNAME";"PROVINCEID";"PROVINCENAME";"BIRTHDATE";"SCHOOLGPA"
2552;336705;40;"Graduated";1;"BANGKOK";17/12/1990 0:00:00;3.15
2552;336706;40;"Graduated";18;"SARABURI";26/9/1990 0:00:00;3.1
2552;336707;55;"Resign";30;"NAKHON RATCHASIMA";7/9/1991 0:00:00;3.3
2552;336708;40;"Graduated";1;"BANGKOK";8/1/1991 0:00:00;3.25
2552;336709;55;"Resign";76;"PHETCHABURI";21/3/1991 0:00:00;3.51
2552;336710;40;"Graduated";60;"NAKHON SAWAN";6/8/1990 0:00:00;3.37
2552;336711;55;"Resign";1;"BANGKOK";12/11/1991 0:00:00;3.9
2552;336712;40;"Graduated";57;"CHIANG RAI";5/5/1991 0:00:00;3.17
2552;336713;80;"Dismissed Not Enroll";1;"BANGKOK";10/10/1990 0:00:00;3.4
2552;336714;40;"Graduated";1;"BANGKOK";4/1/1991 0:00:00;3.11
2552;336715;40;"Graduated";53;"UTTARADIT";25/9/1990 0:00:00;3.12
2552;336716;40;"Graduated";1;"BANGKOK";14/5/1991 0:00:00;3.12
2552;336717;61;"Dismissed GPAX < 1.50";12;"PATHUM THANI";1/5/1990 0:00:00;3.17
2552;336718;10;"Normal";41;"UDON THANI";26/6/1990 0:00:00;3.28
2552;336719;40;"Graduated";1;"BANGKOK";4/10/1989 0:00:00;3.35
2552;336720;40;"Graduated";1;"BANGKOK";22/10/1989 0:00:00;3.26
2552;336721;40;"Graduated";27;"SA KAEO";18/2/1991 0:00:00;3.26
2552;336722;40;"Graduated";44;"MAHA SARAKHAM";15/7/1990 0:00:00;3.15
2552;336723;40;"Graduated";27;"SA KAEO";2/6/1991 0:00:00;3.33
2552;336724;40;"Graduated";21;"RAYONG";21/11/1991 0:00:00;3.38
2552;336725;61;"Dismissed GPAX < 1.50";21;"RAYONG";14/8/1989 0:00:00;3.29
2552;336726;62;"Dismissed GPAX < 2.00";1;"BANGKOK";18/5/1989 0:00:00;3.17
2552;336727;40;"Graduated";12;"PATHUM THANI";13/11/1990 0:00:00;2.96
2552;336728;40;"Graduated";1;"BANGKOK";23/9/1991 0:00:00;2.96
2552;336729;90;"Not Registration for New Students";10;;;
2552;336730;62;"Dismissed GPAX < 2.00";11;"NONTHABURI";15/5/1990 0:00:00;2.54
2552;336731;40;"Graduated";66;"PHICHIT";6/6/1990 0:00:00;3.14
2552;336732;40;"Graduated";1;"BANGKOK";23/4/1990 0:00:00;2.6
2552;336733;55;"Resign";93;"PHATTHALUNG";12/4/1990 0:00:00;3.4
2552;336734;40;"Graduated";13;"PHRA NAKHON SI AYUTTHAYA";6/7/1989 0:00:00;3.25
2552;336735;40;"Graduated";1;"BANGKOK";18/6/1991 0:00:00;3.18
2552;336736;40;"Graduated";1;"BANGKOK";2/11/1990 0:00:00;2.87
2552;336737;10;"Normal";1;"BANGKOK";5/10/1990 0:00:00;2.55
2552;336738;61;"Dismissed GPAX < 1.50";1;"BANGKOK";30/5/1990 0:00:00;2.64
2552;336739;40;"Graduated";74;"SAMUT SAKHON";29/10/1990 0:00:00;3.61
2552;336740;55;"Resign";1;"BANGKOK";25/2/1991 0:00:00;3.39
2552;336741;55;"Resign";1;"BANGKOK";16/8/1990 0:00:00;2.67
2552;336742;40;"Graduated";1;"BANGKOK";27/4/1990 0:00:00;2.6
2552;336743;40;"Graduated";11;"NONTHABURI";13/10/1989 0:00:00;2.47
2552;336744;61;"Dismissed GPAX < 1.50";15;"LOP BURI";17/8/1982 0:00:00;2.73
2552;336745;40;"Graduated";1;"BANGKOK";8/4/1991 0:00:00;3.44
2552;336746;40;"Graduated";1;"BANGKOK";21/2/1991 0:00:00;3.01
2552;336747;40;"Graduated";1;"BANGKOK";19/12/1989 0:00:00;2.97
2552;336748;10;"Normal";62;"KAMPHAENG PHET";19/8/1988 0:00:00;3.58
2553;351659;40;"Graduated";20;"CHON BURI";21/12/1991 0:00:00;3.8
2553;351660;40;"Graduated";66;"PHICHIT";18/1/1992 0:00:00;3.36
2553;351661;40;"Graduated";1;"BANGKOK";23/7/1991 0:00:00;3.18
2553;351662;40;"Graduated";1;"BANGKOK";18/11/1991 0:00:00;3.41
2553;351663;40;"Graduated";1;"BANGKOK";16/6/1992 0:00:00;2.61
2553;351664;40;"Graduated";20;"CHON BURI";5/8/1991 0:00:00;3.02
2553;351665;10;"Normal";1;"BANGKOK";4/12/1991 0:00:00;3.72
2553;351666;40;"Graduated";74;"SAMUT SAKHON";6/8/1991 0:00:00;2.76
2553;351667;80;"Dismissed Not Enroll";1;"BANGKOK";12/1/1991 0:00:00;3.62
2553;351668;40;"Graduated";1;"BANGKOK";15/1/1992 0:00:00;3.72
2553;351669;40;"Graduated";32;"SURIN";27/11/1991 0:00:00;3.33
2553;351670;10;"Normal";86;"CHUMPHON";28/6/1992 0:00:00;3.29
2553;351671;40;"Graduated";1;"BANGKOK";8/2/1992 0:00:00;3.64
2553;351672;40;"Graduated";1;"BANGKOK";2/4/1992 0:00:00;3.46
2553;351673;40;"Graduated";1;"BANGKOK";19/8/1991 0:00:00;3.24
2553;351674;40;"Graduated";41;"UDON THANI";25/8/1990 0:00:00;3.12
2553;351675;40;"Graduated";95;"YALA";12/3/1992 0:00:00;3
2553;351676;40;"Graduated";1;"BANGKOK";18/5/1992 0:00:00;3.51
2553;351677;40;"Graduated";76;"PHETCHABURI";14/8/1991 0:00:00;3.52
2553;351678;40;"Graduated";80;"NAKHON SI THAMMARAT";28/10/1991 0:00:00;3.67
2553;351679;92;"Disclaim / Not Interview";10;;;
2553;351680;40;"Graduated";30;"NAKHON RATCHASIMA";3/3/1991 0:00:00;3.43
2553;351681;10;"Normal";11;"NONTHABURI";19/11/1991 0:00:00;3.13
2553;351682;40;"Graduated";11;"NONTHABURI";28/9/1991 0:00:00;3.53
2553;351683;40;"Graduated";16;"SING BURI";13/2/1992 0:00:00;3.6
2553;351684;40;"Graduated";86;"CHUMPHON";18/11/1990 0:00:00;3.33
2553;351685;40;"Graduated";1;"BANGKOK";29/6/1992 0:00:00;3.54
2553;351686;55;"Resign";1;"BANGKOK";5/8/1991 0:00:00;3.04
2553;351687;40;"Graduated";1;"BANGKOK";21/6/1991 0:00:00;3.55
2553;351688;55;"Resign";27;"SA KAEO";10/8/1992 0:00:00;3.74
2553;351689;55;"Resign";19;"SAMUT PRAKAN";2/10/1991 0:00:00;3.31
2553;351690;40;"Graduated";1;"BANGKOK";2/8/1992 0:00:00;3.37
2553;351691;40;"Graduated";24;"CHACHOENGSAO";15/9/1991 0:00:00;3.6
2553;351692;40;"Graduated";11;"NONTHABURI";12/1/1992 0:00:00;3.43
2553;351693;40;"Graduated";90;"SONGKHLA";8/8/1991 0:00:00;3.4
2553;351694;40;"Graduated";13;"PHRA NAKHON SI AYUTTHAYA";18/2/1992 0:00:00;3.03
2553;351695;40;"Graduated";15;"LOP BURI";24/11/1991 0:00:00;3.57
2553;351696;90;"Not Registration for New Students";13;"PHRA NAKHON SI AYUTTHAYA";2/9/1990 0:00:00;3.69
2553;351697;40;"Graduated";60;"NAKHON SAWAN";18/5/1991 0:00:00;2.91
2553;351698;40;"Graduated";20;"CHON BURI";12/3/1992 0:00:00;3.46
2553;351699;10;"Normal";19;"SAMUT PRAKAN";7/9/1991 0:00:00;3.04
2553;351700;40;"Graduated";23;"TRAT";23/12/1991 0:00:00;3.22
2553;351701;40;"Graduated";12;"PATHUM THANI";6/4/1991 0:00:00;3.18
2553;351702;40;"Graduated";92;"TRANG";21/11/1991 0:00:00;3.31
2553;351703;40;"Graduated";1;"BANGKOK";20/3/1992 0:00:00;3.65
2553;351704;40;"Graduated";19;"SAMUT PRAKAN";6/11/1991 0:00:00;3.32
2553;351705;92;"Disclaim / Not Interview";45;"ROI ET";;
2553;351706;55;"Resign";45;"ROI ET";4/12/1991 0:00:00;3.93
2553;351707;92;"Disclaim / Not Interview";40;"KHON KAEN";;
2553;351708;40;"Graduated";13;"PHRA NAKHON SI AYUTTHAYA";13/12/1991 0:00:00;3.45
2553;351709;40;"Graduated";95;"YALA";5/2/1992 0:00:00;3.13
2553;351710;55;"Resign";30;"NAKHON RATCHASIMA";20/6/1991 0:00:00;3.18
2553;351711;40;"Graduated";13;"PHRA NAKHON SI AYUTTHAYA";26/8/1991 0:00:00;2.84
2553;351712;40;"Graduated";1;"BANGKOK";14/10/1989 0:00:00;3.67
2553;351713;90;"Not Registration for New Students";10;;;
2553;351714;40;"Graduated";95;"YALA";18/2/1991 0:00:00;3.28
2553;351715;10;"Normal";22;"CHANTHABURI";23/5/1991 0:00:00;3.77
2553;351716;40;"Graduated";1;"BANGKOK";17/9/1992 0:00:00;3.11
2553;351717;40;"Graduated";96;"NARATHIWAT";13/9/1991 0:00:00;3.44
2553;351718;55;"Resign";19;"SAMUT PRAKAN";28/12/1991 0:00:00;3.44
2553;351719;40;"Graduated";72;"SUPHAN BURI";13/11/1990 0:00:00;3.85
2553;351720;92;"Disclaim / Not Interview";34;"UBON RATCHATHANI";;
2553;351721;55;"Resign";70;"RATCHABURI";7/6/1992 0:00:00;2.82
2553;351722;40;"Graduated";92;"TRANG";6/5/1991 0:00:00;3.35
2553;351723;92;"Disclaim / Not Interview";10;;;
2553;351724;40;"Graduated";1;"BANGKOK";11/12/1992 0:00:00;2.81
2553;351725;40;"Graduated";71;"KANCHANABURI";24/3/1991 0:00:00;3.25
2553;351726;40;"Graduated";71;"KANCHANABURI";7/11/1991 0:00:00;3.42
2553;351727;40;"Graduated";55;"NAN";13/6/1991 0:00:00;3.28
2553;351728;10;"Normal";90;"SONGKHLA";26/3/1992 0:00:00;3.27
2553;351729;55;"Resign";64;"SUKHOTHAI";3/4/1992 0:00:00;3.15
2553;351730;40;"Graduated";1;"BANGKOK";31/3/1992 0:00:00;3.12
2553;351731;55;"Resign";34;"UBON RATCHATHANI";5/5/1992 0:00:00;3.32
2553;351732;40;"Graduated";24;"CHACHOENGSAO";24/3/1992 0:00:00;3.71
2553;351733;10;"Normal";62;"KAMPHAENG PHET";4/10/1991 0:00:00;3.14
2553;351734;40;"Graduated";1;"BANGKOK";19/12/1990 0:00:00;3.61
2553;351735;40;"Graduated";71;"KANCHANABURI";2/7/1990 0:00:00;3.59
2553;351736;40;"Graduated";20;"CHON BURI";24/5/1991 0:00:00;3.67
2553;351737;10;"Normal";76;"PHETCHABURI";21/9/1991 0:00:00;2.99
2553;351738;80;"Dismissed Not Enroll";46;"KALASIN";3/3/1991 0:00:00;3.84
2553;352721;40;"Graduated";20;"CHON BURI";4/2/1992 0:00:00;3.47
2553;352722;40;"Graduated";1;"BANGKOK";28/3/1992 0:00:00;3.25
2553;352723;40;"Graduated";1;"BANGKOK";11/10/1992 0:00:00;2.87
2553;352724;40;"Graduated";1;"BANGKOK";31/7/1992 0:00:00;3.54
2553;352725;55;"Resign";39;"NONG BUA LAM PHU";27/7/1991 0:00:00;3.63
2553;352726;40;"Graduated";71;"KANCHANABURI";4/11/1991 0:00:00;3.18
2553;352727;80;"Dismissed Not Enroll";19;"SAMUT PRAKAN";22/9/1991 0:00:00;2.97
2553;352728;40;"Graduated";13;"PHRA NAKHON SI AYUTTHAYA";17/7/1991 0:00:00;2.85
2553;352729;10;"Normal";95;"YALA";20/6/1991 0:00:00;3.45
2553;352730;40;"Graduated";1;"BANGKOK";28/8/1992 0:00:00;3.13
2553;352731;40;"Graduated";32;"SURIN";8/8/1991 0:00:00;3.51
2553;352732;40;"Graduated";1;"BANGKOK";13/11/1992 0:00:00;3.12
2553;352733;40;"Graduated";67;"PHETCHABUN";29/6/1992 0:00:00;3.56
2553;352734;40;"Graduated";1;"BANGKOK";4/1/1992 0:00:00;3.31
2553;352735;92;"Disclaim / Not Interview";90;"SONGKHLA";;
2553;352736;90;"Not Registration for New Students";10;;;
2553;352737;90;"Not Registration for New Students";76;"PHETCHABURI";;
2553;352738;80;"Dismissed Not Enroll";18;"SARABURI";18/8/1991 0:00:00;3.11
2553;352739;40;"Graduated";1;"BANGKOK";10/2/1992 0:00:00;2.84
2553;352740;10;"Normal";1;"BANGKOK";6/12/1991 0:00:00;3.15
2553;354652;55;"Resign";23;"TRAT";16/1/1992 0:00:00;3.22
2553;354653;80;"Dismissed Not Enroll";34;"UBON RATCHATHANI";17/8/1989 0:00:00;3.42
2553;354654;40;"Graduated";1;"BANGKOK";10/2/1992 0:00:00;3.29
2553;354655;90;"Not Registration for New Students";72;"SUPHAN BURI";;
2553;354656;90;"Not Registration for New Students";10;;;
2553;354657;40;"Graduated";1;"BANGKOK";11/1/1991 0:00:00;3.45
2553;354658;10;"Normal";40;"KHON KAEN";17/7/1989 0:00:00;3.49
2553;354659;40;"Graduated";92;"TRANG";26/6/1990 0:00:00;3.29
2553;354660;40;"Graduated";13;"PHRA NAKHON SI AYUTTHAYA";15/12/1990 0:00:00;3.74
2553;354661;40;"Graduated";19;"SAMUT PRAKAN";18/8/1990 0:00:00;3.19
2553;354662;55;"Resign";1;"BANGKOK";7/10/1990 0:00:00;3.08
2553;354663;90;"Not Registration for New Students";10;;;
2553;354664;40;"Graduated";41;"UDON THANI";8/3/1992 0:00:00;3.27
2553;354665;90;"Not Registration for New Students";10;;;
2553;354666;40;"Graduated";14;"ANG THONG";30/3/1992 0:00:00;3.21
2553;354667;40;"Graduated";1;"BANGKOK";6/7/1992 0:00:00;3.1
2553;354668;90;"Not Registration for New Students";42;"LOEI";;
2553;354669;40;"Graduated";1;"BANGKOK";14/12/1991 0:00:00;3.66
2553;354670;40;"Graduated";36;"CHAIYAPHUM";4/10/1991 0:00:00;3.94
2553;354671;40;"Graduated";20;"CHON BURI";17/12/1991 0:00:00;3.43
2553;354672;10;"Normal";14;"ANG THONG";1/2/1992 0:00:00;3.29
2553;354673;10;"Normal";40;"KHON KAEN";12/11/1991 0:00:00;3.16
2553;354674;55;"Resign";1;"BANGKOK";23/2/1992 0:00:00;3.53
2553;354675;90;"Not Registration for New Students";30;"NAKHON RATCHASIMA";;
2553;354676;90;"Not Registration for New Students";10;;;
2553;354677;10;"Normal";85;"RANONG";7/4/1991 0:00:00;3.21
2553;354678;40;"Graduated";1;"BANGKOK";16/1/1992 0:00:00;3.1
2553;354679;90;"Not Registration for New Students";31;"BURI RAM";;
2553;354680;40;"Graduated";40;"KHON KAEN";19/9/1989 0:00:00;3.43
2553;354681;55;"Resign";18;"SARABURI";21/2/1992 0:00:00;3.08
2553;361060;40;"Graduated";90;"SONGKHLA";9/4/1985 0:00:00;3.61
2553;361061;80;"Dismissed Not Enroll";74;"SAMUT SAKHON";25/8/1990 0:00:00;3.28
2553;361062;40;"Graduated";1;"BANGKOK";14/9/1991 0:00:00;3.16
2553;361063;10;"Normal";19;"SAMUT PRAKAN";18/8/1989 0:00:00;2.73
2553;361064;10;"Normal";1;"BANGKOK";16/8/1990 0:00:00;2.7
2553;361065;61;"Dismissed GPAX < 1.50";11;"NONTHABURI";19/4/1992 0:00:00;2.67
2553;361066;40;"Graduated";1;"BANGKOK";5/1/1987 0:00:00;2.77
2553;361067;90;"Not Registration for New Students";10;;;
2553;361068;55;"Resign";1;"BANGKOK";21/4/1992 0:00:00;2.9
2553;361069;55;"Resign";13;"PHRA NAKHON SI AYUTTHAYA";15/6/1992 0:00:00;2.62
2553;361070;40;"Graduated";1;"BANGKOK";13/2/1992 0:00:00;2.67
2553;361071;80;"Dismissed Not Enroll";1;"BANGKOK";12/9/1991 0:00:00;2.46
2553;361072;40;"Graduated";36;"CHAIYAPHUM";11/6/1991 0:00:00;3.93
2553;361073;40;"Graduated";64;"SUKHOTHAI";21/1/1991 0:00:00;3.75
2553;361074;90;"Not Registration for New Students";10;;;
2553;361075;40;"Graduated";31;"BURI RAM";5/3/1990 0:00:00;3.44
2553;361076;10;"Normal";1;"BANGKOK";14/5/1991 0:00:00;3.36
2553;361077;40;"Graduated";19;"SAMUT PRAKAN";4/3/1992 0:00:00;3.17
